UID	Symbol	Pearson rho	Pearson p-value	Cell State
SFTPA1	SFTPA1	0.9022241788962095	0.0	1
SFTPD	SFTPD	0.8757223453557081	0.0	1
SFTPC	SFTPC	0.8745719675441748	0.0	1
NAPSA	NAPSA	0.8654860177164592	0.0	1
SFTPA2	SFTPA2	0.8643241932424787	0.0	1
PGC	PGC	0.8633684452567207	0.0	1
PEBP4	PEBP4	0.8483481896262797	0.0	1
ABCA3	ABCA3	0.8463984127993128	0.0	1
SFTA2	SFTA2	0.8236869042517405	0.0	1
LAMP3	LAMP3	0.814636334435656	0.0	1
SDR16C5	SDR16C5	0.7916295134288769	0.0	1
C4BPA	C4BPA	0.7907871426851761	0.0	1
WIF1	WIF1	0.785282599037894	0.0	1
DMBT1	DMBT1	0.7511619462886233	0.0	1
HHIP	HHIP	0.7457475197204507	0.0	1
C16orf89	C16orf89	0.7392461100053579	0.0	1
SFTA3	SFTA3	0.738302778291152	0.0	1
ALPL	ALPL	0.7300015526433378	0.0	1
MFSD2A	MFSD2A	0.7288343352532649	0.0	1
LPCAT1	LPCAT1	0.7275293473724453	0.0	1
LRRK2	LRRK2	0.7173025381770838	0.0	1
SFTPB	SFTPB	0.7160082249514078	0.0	1
CACNA2D2	CACNA2D2	0.7054142729016833	5e-324	1
AK1	AK1	0.7049466236838912	3e-323	1
RASGRF1	RASGRF1	0.7013021718835926	1.61064e-318	1
SLC34A2	SLC34A2	0.6985304331787859	5.77299716e-315	1
ETV1	ETV1	0.6901763703184184	1.702027590711674e-304	1
CXCL17	CXCL17	0.689563845783014	9.650861854887169e-304	1
C8orf4	C8orf4	0.6788530454167491	7.32223718034027e-291	1
MUC1	MUC1	0.6782269291581845	3.986276534015835e-290	1
HSD17B6	HSD17B6	0.6764215963539789	5.155581813190702e-288	1
SELENBP1	SELENBP1	0.6618603651190282	1.6098862073814189e-271	1
GKN2	GKN2	0.6610527051236744	1.2433272384143336e-270	1
FGGY	FGGY	0.6576338300776672	6.640717423112669e-267	1
SNX25	SNX25	0.6522250978162948	4.174404667573596e-261	1
FASN	FASN	0.6485700237603306	2.9646623630010597e-257	1
MALL	MALL	0.6457392284846258	2.620984534482567e-254	1
NNMT	NNMT	0.6386749596741796	4.328980296352953e-247	1
S100A14	S100A14	0.6347211871612417	3.9265323218838926e-243	1
HOPX	HOPX	0.6267891209757364	2.300119466509138e-235	1
ZNF385B	ZNF385B	0.6252350330456987	7.200266338981098e-234	1
MBIP	MBIP	0.6131555289905345	1.5807149534340713e-222	1
PLA2G1B	PLA2G1B	0.6016467973744897	3.597352106349511e-212	1
ITGB6	ITGB6	0.5881537896477773	1.4900927527868836e-200	1
ETV5	ETV5	0.584467810192903	1.7879902193358846e-197	1
ALOX15B	ALOX15B	0.5830394857417482	2.722400503351051e-196	1
PARM1	PARM1	0.5826430964510633	5.782344488300499e-196	1
NKX2-1	NKX2-1	0.5821276989557649	1.5374587568001643e-195	1
SLC46A2	SLC46A2	0.5812919675230246	7.479137079024079e-195	1
DHCR24	DHCR24	0.578741431928127	9.085532286371977e-193	1
PON3	PON3	0.5724943323060914	9.703735175662902e-188	1
TMEM125	TMEM125	0.5688517086965322	7.403901366649376e-185	1
CYB5A	CYB5A	0.5674982977825748	8.536798991110017e-184	1
CREB3L1	CREB3L1	0.5659053511730116	1.4954071122325852e-182	1
MSMO1	MSMO1	0.558539284887698	6.877477169883699e-177	1
STEAP4	STEAP4	0.55782038443644	2.412655477114173e-176	1
SDC4	SDC4	0.5572357562748199	6.679958038287161e-176	1
SLC22A31	SLC22A31	0.5535612926768759	3.841449061036228e-173	1
FOLR1	FOLR1	0.5449687669156088	8.038628722861724e-167	1
PPP1R1B	PPP1R1B	0.5447171081012713	1.2233365715858956e-166	1
LGI3	LGI3	0.5441912400485498	2.938426510676835e-166	1
C11orf96	C11orf96	0.5397837077395434	4.2796548285967117e-163	1
PTPN13	PTPN13	0.5368186495057574	5.409349804644229e-161	1
RNASE1	RNASE1	0.5300074852535698	3.037377956618916e-156	1
SCTR	SCTR	0.5281685321866599	5.575349293028375e-155	1
MLPH	MLPH	0.5271244466594492	2.8862444596892337e-154	1
DRAM1	DRAM1	0.5270680786569136	3.153644557473127e-154	1
CHIA	CHIA	0.5269202478571744	3.978276451251075e-154	1
LGALSL	LGALSL	0.526872989466808	4.2848373247693666e-154	1
F3	F3	0.5251938832974663	5.944350834956812e-153	1
VEPH1	VEPH1	0.5249758494948009	8.354989814411707e-153	1
SFRP5	SFRP5	0.522576240139059	3.48284168600184e-151	1
AZGP1	AZGP1	0.5224689893090064	4.111838739122042e-151	1
MGST1	MGST1	0.5201394849941524	1.4919226987262142e-149	1
ATP8A2	ATP8A2	0.5155132386389943	1.7197581936846847e-146	1
SNX30	SNX30	0.5148941291748368	4.3815477996181625e-146	1
SEPP1	SEPP1	0.5141478677565089	1.349244071795504e-145	1
RHOBTB2	RHOBTB2	0.5132519193996989	5.1871223898195276e-145	1
CHI3L2	CHI3L2	0.5128654356267109	9.261198485453218e-145	1
EPCAM	EPCAM	0.5109960940628513	1.5125707564444236e-143	1
KCNJ15	KCNJ15	0.506770387443727	7.837187946538116e-141	1
MYO1B	MYO1B	0.5065293978207993	1.1163872802416412e-140	1
FLRT3	FLRT3	0.5053394135995155	6.37884616043166e-140	1
CTSH	CTSH	0.5037346916580843	6.618200464894001e-139	1
DUOX1	DUOX1	0.5014869565267728	1.7169475740924556e-137	1
LDLR	LDLR	0.5004081343718532	8.122352688363367e-137	1
CADM1	CADM1	0.4986915599864423	9.519465735094479e-136	1
CA2	CA2	0.4943605300141575	4.452814514742983e-133	1
MAOA	MAOA	0.4942312794853798	5.3422796784539266e-133	1
CRTAC1	CRTAC1	0.49366952545779796	1.1778369337574457e-132	1
TMEM97	TMEM97	0.49284933754197036	3.726107139339167e-132	1
SPRY4	SPRY4	0.4913944138596765	2.852038371956477e-131	1
PON2	PON2	0.4892791503733931	5.402920750153297e-130	1
EPDR1	EPDR1	0.488044843828723	2.9780164481497525e-129	1
LMO3	LMO3	0.48433663988814063	4.817246775352029e-127	1
GSTA4	GSTA4	0.48260024912645727	5.1027049193954025e-126	1
TACC2	TACC2	0.48189871379836646	1.3190059020743306e-125	1
SFN	SFN	0.4817619725764252	1.5868200660295664e-125	1
SLC6A14	SLC6A14	0.4812567369348763	3.139323359212415e-125	1
ITPR3	ITPR3	0.4788829192720948	7.627517932315273e-124	1
TMPRSS2	TMPRSS2	0.47235578633571024	4.327837566524712e-120	1
NTN4	NTN4	0.47223504942812694	5.069264694379186e-120	1
SOD3	SOD3	0.46971993299816045	1.3466942513597678e-118	1
RNF145	RNF145	0.4682865885987401	8.623166774432076e-118	1
ATP11A	ATP11A	0.4676634087140501	1.927834493065402e-117	1
C3	C3	0.4676272220051519	2.0199312120688487e-117	1
AHCYL2	AHCYL2	0.46622537782169	1.2262598207415895e-116	1
C1orf21	C1orf21	0.4660359180632259	1.563718359793871e-116	1
CXCL2	CXCL2	0.4616825701712643	3.9976379976801766e-114	1
SERPINF2	SERPINF2	0.46158277326586056	4.535118530761168e-114	1
MRPL14	MRPL14	0.4583056327511307	2.7896431789531937e-112	1
ACSS3	ACSS3	0.45796534912776043	4.267654537083038e-112	1
SLC26A9	SLC26A9	0.44680502291834023	3.7251532750544043e-106	1
ZDHHC3	ZDHHC3	0.44591403871732815	1.0863299585088204e-105	1
C14orf1	C14orf1	0.4449187824790335	3.577185721867368e-105	1
SLCO4C1	SLCO4C1	0.44482774818456056	3.988389705615175e-105	1
DLC1	DLC1	0.44467765020430455	4.771801158343345e-105	1
TMEM213	TMEM213	0.44287794780976325	4.069054336708932e-104	1
DUSP6	DUSP6	0.4427869900818529	4.5330272912048234e-104	1
CLDN7	CLDN7	0.44023853852799455	9.214976655032224e-103	1
CRB3	CRB3	0.4367018298328134	5.773568093431951e-101	1
SPTSSA	SPTSSA	0.4347607383054367	5.47839570355613e-100	1
SLC25A4	SLC25A4	0.4339860731650078	1.3392729996191165e-99	1
CCDC141	CCDC141	0.4294851516682987	2.3043731308365982e-97	1
DUOXA1	DUOXA1	0.42926471119221143	2.9592473178221545e-97	1
BMP1	BMP1	0.42926117421922505	2.9711429762425557e-97	1
EPHX1	EPHX1	0.4287501855460329	5.301697167980831e-97	1
BTG3	BTG3	0.42685058402509635	4.5242215965481434e-96	1
RBPMS	RBPMS	0.4262978832198514	8.420593328117488e-96	1
NPC2	NPC2	0.4253151072279468	2.534191284485864e-95	1
SH3YL1	SH3YL1	0.42515728999063196	3.023639452787779e-95	1
AGR2	AGR2	0.4240777291154078	1.0093523891465744e-94	1
KRT18	KRT18	0.42345845265324167	2.0113530255466713e-94	1
EVA1A	EVA1A	0.4231817515841429	2.73578556359133e-94	1
SLC39A8	SLC39A8	0.42129372603459886	2.214662235317174e-93	1
SEZ6L2	SEZ6L2	0.4211615872642923	2.5624486132389432e-93	1
MECOM	MECOM	0.41159750996685973	8.300330369228501e-89	1
