UID	Symbol	Pearson rho	Pearson p-value	Cell State
RETN	RETN	0.7167881797010064	0.0	1
INHBA	INHBA	0.7136164550750396	0.0	1
FABP4	FABP4	0.7111905405622553	0.0	1
MARCO	MARCO	0.7025480474992225	0.0	1
C1QC	C1QC	0.699472174301215	0.0	1
ABCG1	ABCG1	0.6970466446153994	0.0	1
C1QB	C1QB	0.6948722254169943	0.0	1
C1QA	C1QA	0.6882419454024574	0.0	1
FBP1	FBP1	0.6844981577485232	0.0	1
ALOX5	ALOX5	0.6814179310694917	0.0	1
ALOX5AP	ALOX5AP	0.6805800647484299	0.0	1
SPN	SPN	0.6789100162035896	0.0	1
HLA-DQA1	HLA-DQA1	0.6758701647019512	0.0	1
GRN	GRN	0.6739766599700638	0.0	1
OLR1	OLR1	0.6736642836383917	0.0	1
MRC1	MRC1	0.6734541194390816	0.0	1
CD52	CD52	0.6698867301334861	0.0	1
TREM1	TREM1	0.6638429497825159	1.589842e-317	1
CD68	CD68	0.6597896098078366	2.412334645527e-312	1
IFI6	IFI6	0.6565538454720838	2.889386488737352e-308	1
FCGR2A	FCGR2A	0.6498184727066121	6.167153497150928e-300	1
MSR1	MSR1	0.6491447791493941	4.0883057533531247e-299	1
HLA-DRB1	HLA-DRB1	0.6487675063763305	1.1766630633066294e-298	1
PNPLA6	PNPLA6	0.6460023838310399	2.604293383846681e-295	1
BHLHE41	BHLHE41	0.6451322942289428	2.8911731641156253e-294	1
HLA-DRB5	HLA-DRB5	0.6446416884995922	1.1194779435151106e-293	1
ACP5	ACP5	0.6443365512386763	2.595050689757833e-293	1
APOE	APOE	0.6432240443280923	5.51885451357054e-292	1
HLA-DQB1	HLA-DQB1	0.6360663897851621	1.423574654951848e-283	1
SPI1	SPI1	0.6343467463656532	1.3840718190513192e-281	1
SLCO2B1	SLCO2B1	0.6336932335386782	7.820986920531173e-281	1
GLDN	GLDN	0.6309305775269302	1.1291158578880623e-277	1
CXCL16	CXCL16	0.6304595933887198	3.87412996419243e-277	1
PCOLCE2	PCOLCE2	0.6300845029692471	1.032597403649648e-276	1
APOC1	APOC1	0.6257783590238535	7.244635577635114e-272	1
CTSC	CTSC	0.6255265483456163	1.3837112394789196e-271	1
CYP27A1	CYP27A1	0.6201876177625142	1.0944605914112158e-265	1
IGSF6	IGSF6	0.6196279292826358	4.476255014514322e-265	1
